"ID,Month,Year,Edits"
"144,9,2009,53"
"128,3,2006,16"
"67,2,2006,70"
"72,3,2014,61"
"463,11,2012,45"
"432,11,2014,6"
"343,9,2008,82"
"259,5,2011,60"
"36,5,2013,70"
"62,7,2005,23"
"280,4,2006,71"
"225,2,2006,19"
"430,3,2012,13"
"133,2,2008,61"
"374,12,2005,16"
"329,12,2005,98"
"115,7,2007,75"
"402,10,2008,26"
"57,10,2011,86"
"300,2,2007,94"
"14,1,2006,48"
"117,11,2011,75"
"475,2,2005,25"
"259,10,2010,12"
"242,1,2014,37"
"304,9,2011,31"
"10,8,2007,10"
"179,11,2009,92"
"476,12,2013,70"
"69,5,2013,44"
"162,6,2008,50"
"310,10,2008,62"
"108,3,2013,23"
"136,4,2006,5"
"192,3,2008,24"
"456,12,2009,28"
"443,5,2013,46"
"349,6,2008,12"
"27,8,2011,90"
"187,10,2010,17"
"81,7,2013,90"
"473,3,2008,80"
"494,10,2009,92"
"56,7,2013,74"
"308,10,2006,36"
"357,12,2009,47"
"423,9,2011,42"
"304,4,2008,23"
"322,3,2010,25"
"1,1,2013,20"
"157,1,2014,65"
"491,6,2007,45"
"85,9,2006,38"
"9,12,2012,5"
"206,4,2014,25"
"322,1,2008,1"
"406,2,2012,49"
"418,8,2011,85"
"212,1,2009,8"
"150,6,2014,11"
"157,10,2008,57"
"245,9,2008,54"
"490,1,2007,20"
"229,12,2005,12"
"241,8,2007,30"
"253,6,2011,67"
"351,12,2008,88"
"490,2,2014,31"
"341,3,2010,43"
"1,9,2007,22"
"62,4,2007,35"
"317,11,2012,58"
"212,6,2006,19"
"443,4,2013,70"
"99,5,2014,53"
"306,8,2014,29"
"152,6,2008,96"
"397,2,2009,69"
"255,6,2007,1"
"266,4,2007,4"
"78,3,2005,4"
"202,1,2013,6"
"188,9,2010,5"
"241,2,2008,53"
"267,6,2011,27"
"352,1,2005,71"
"87,2,2005,26"
"175,8,2013,87"
"456,3,2014,90"
"19,7,2010,3"
"68,6,2013,45"
"431,9,2010,47"
"300,3,2012,17"
"364,6,2007,84"
"6,4,2005,43"
"298,7,2013,81"
"201,3,2010,61"
"346,12,2008,5"
"185,7,2011,76"
"51,4,2010,79"
"430,6,2005,49"
"263,12,2005,68"
"90,5,2007,16"
"329,9,2008,12"
"374,1,2014,28"
"151,9,2005,100"
"235,12,2007,63"
"431,9,2006,33"
"274,10,2011,100"
"379,9,2009,99"
"174,4,2006,20"
"290,5,2012,34"
"50,3,2007,35"
"282,1,2008,44"
"129,1,2007,65"
"33,10,2009,81"
"31,3,2011,21"
"30,7,2006,25"
"463,5,2010,59"
"259,4,2009,97"
"269,9,2011,43"
"466,6,2005,90"
"411,3,2008,60"
"486,8,2013,47"
"162,1,2006,49"
"389,3,2014,22"
"235,12,2007,90"
"165,6,2009,63"
"388,1,2009,24"
"109,6,2006,36"
"302,9,2013,48"
"151,11,2007,47"
"138,5,2011,80"
"64,9,2009,47"
"474,6,2008,33"
"281,7,2013,90"
