ID,Date,Edits
248,9/2006,68
447,5/2010,27
87,1/2013,10
484,12/2005,70
14,8/2013,27
441,8/2006,48
96,5/2009,82
500,3/2007,27
115,8/2012,23
131,5/2008,27
274,11/2006,60
304,1/2013,97
10,12/2013,14
241,3/2008,92
62,6/2008,29
495,12/2013,14
412,4/2010,45
337,3/2006,57
38,4/2011,93
249,9/2011,45
286,7/2011,44
136,8/2008,55
345,2/2011,28
184,4/2014,1
444,5/2007,5
228,11/2005,68
371,4/2005,22
282,7/2014,41
281,12/2010,5
250,6/2013,67
124,7/2013,39
221,5/2010,67
176,8/2012,99
427,2/2008,12
295,6/2006,18
354,5/2011,74
150,5/2012,85
267,5/2007,94
265,8/2009,8
197,5/2010,4
341,9/2005,85
162,2/2013,23
120,10/2009,17
353,1/2014,2
45,8/2011,81
382,11/2006,34
132,3/2013,34
350,3/2014,42
6,6/2005,36
51,11/2012,56
49,5/2012,38
415,2/2005,14
407,1/2014,86
106,7/2010,77
339,3/2006,80
455,5/2009,30
186,5/2012,90
37,7/2005,99
17,2/2014,47
215,7/2012,72
120,5/2012,59
43,10/2006,90
292,6/2008,37
221,2/2006,81
401,9/2005,48
116,1/2009,91
357,4/2011,93
425,10/2012,81
396,11/2005,60
21,10/2008,38
108,11/2011,11
125,1/2010,8
89,4/2014,10
346,2/2008,18
233,8/2009,71
408,9/2006,68
177,6/2010,22
193,1/2011,55
155,4/2009,67
444,7/2005,70
278,1/2008,99
259,2/2007,59
180,10/2009,29
256,11/2007,8
65,12/2007,78
470,5/2010,87
159,7/2009,12
121,11/2013,49
344,3/2013,88
349,3/2009,79
310,12/2006,86
249,11/2013,9
181,4/2006,27
229,5/2008,25
288,4/2012,57
191,8/2005,21
409,7/2005,94
400,11/2011,19
94,8/2012,84
433,3/2012,23
70,11/2011,23
104,5/2007,87
191,5/2005,90
379,12/2006,26
358,9/2006,10
119,9/2006,3
2,10/2012,85
226,2/2012,40
136,2/2010,64
74,9/2011,2
357,4/2007,78
45,3/2011,98
88,6/2005,1
69,3/2012,25
