ID,Title,Category,Sub-Category
0,Academic genealogy,History,History of Science
1,Antiquarian science books,History,History of Science
2,Barlow's law,History,History of Science
3,Big Science,History,History of Science
4,Book of Nature,History,History of Science
5,History of chemistry,History,History of Science
6,History of science in classical antiquity,History,History of Science
7,The Copernican Question,History,History of Science
8,The Copernican Revolution (book),History,History of Science
9,"Department of History and Philosophy of Science, University of Cambridge",History,History of Science
10,Dibner Institute for the History of Science and Technology,History,History of Science
11,Discovery of human antiquity,History,History of Science
12,Doctrine of signatures,History,History of Science
13,History of science in early cultures,History,History of Science
14,History of energy,History,History of Science
15,Science in the Age of Enlightenment,History,History of Science
16,European and American voyages of scientific exploration,History,History of Science
17,History of experiments,History,History of Science
18,List of experiments,History,History of Science
19,Fermentation theory,History,History of Science
20,Hagiopolitan Octoechos,History,History of Science
21,Jennifer Michael Hecht,History,History of Science
22,Hellenophilia,History,History of Science
23,History of anthropometry,History,History of Science
24,History of fluorine,History,History of Science
25,History of the metric system,History,History of Science
26,Ice age,History,History of Science
27,International Conference on Cold Fusion,History,History of Science
28,History of knowledge,History,History of Science
29,Laws of attraction,History,History of Science
30,History of metamaterials,History,History of Science
31,Eupropean science in the Middle Ages,History,History of Science
32,Natural History,History,History of Science
33,Natural magic,History,History of Science
34,Natural philosophy,History,History of Science
35,Nature of Science,History,History of Science
36,Oral History of British Science,History,History of Science
37,Parable of the Sunfish,History,History of Science
38,Physics (Aristotle),History,History of Science
39,List of places used in the names of chemical elements,History,History of Science
40,History of science policy,History,History of Science
41,Pre-Socratic philosophy,History,History of Science
42,List of scientific priority disputes,History,History of Science
43,History of pseudoscience,History,History of Science
44,History of randomness,History,History of Science
45,Relationship between mathematics and physics,History,History of Science
46,Relationship between religion and science,History,History of Science
47,History of science in the Rennaissance,History,History of Science
48,Revolution in Time,History,History of Science
49,Role of chance in scientific discoveries,History,History of Science
50,Romanticism in science,History,History of Science
51,History of scholarship,History,History of Science
52,List of scientists whose names are used in chemical element names,History,History of Science
53,Sevcenko's law,History,History of Science
54,Small Science,History,History of Science
55,Superseded scientific theories,History,History of Science
56,Timeline of theoretical physics,History,History of Science
57,Traditional knowledge,History,History of Science
58,Welbeck Academy,History,History of Science
59,The Zoist,History,History of Science
60,,History,Ancient Egypt
61,,History,Ancient Egypt
62,,History,Ancient Egypt
63,,History,Ancient Egypt
64,,History,Ancient Egypt
65,,History,Ancient Egypt
66,,History,Ancient Egypt
67,,History,Ancient Egypt
68,,History,Ancient Egypt
69,,History,Ancient Egypt
70,,History,Ancient Egypt
71,,History,Ancient Egypt
72,,History,Ancient Egypt
73,,History,Ancient Egypt
74,,History,Ancient Egypt
75,,History,Ancient Egypt
76,,History,Ancient Egypt
77,,History,Ancient Egypt
78,,History,Ancient Egypt
79,,History,Ancient Egypt
80,,History,Ancient Egypt
81,,History,Ancient Egypt
82,,History,Ancient Egypt
83,,History,Ancient Egypt
84,,History,Ancient Egypt
85,,History,Ancient Egypt
86,,History,Ancient Egypt
87,,History,Ancient Egypt
88,,History,Ancient Egypt
89,,History,Ancient Egypt
90,,History,Ancient Egypt
91,,History,Ancient Egypt
92,,History,Ancient Egypt
93,,History,Ancient Egypt
94,,History,Ancient Egypt
95,,History,Ancient Egypt
96,,History,Ancient Egypt
97,,History,Ancient Egypt
98,,History,Ancient Egypt
99,,History,Ancient Egypt
