ID,Lock,Unlock,Type,
1,11-2005,04-2006,1,
1,04-2007,02-2008,2,
1,09-2008,08-2009,2,
1,04-2010,05-2010,4,
1,04-2011,09-2011,4,
2,02-2006,12-2006,1,
2,07-2007,03-2008,4,
2,05-2008,10-2008,1,
2,08-2009,09-2009,4,
2,12-2009,10-2010,3,
3,11-2006,12-2006,2,
3,09-2007,05-2008,4,
3,04-2009,12-2009,1,
3,12-2010,07-2011,4,
3,01-2012,07-2012,5,
4,10-2005,03-2006,4
4,08-2006,02-2007,1
4,08-2007,10-2007,3
4,09-2008,03-2009,2
4,01-2010,05-2010,2
5,01-2007,02-2007,4
5,12-2007,08-2008,3
5,07-2009,10-2009,2
5,07-2010,02-2011,4
5,06-2011,11-2011,5
6,02-2006,06-2006,2
6,03-2007,04-2007,3
6,01-2008,05-2008,1
6,09-2008,11-2008,2
6,10-2009,03-2010,5
7,03-2005,08-2005,2
7,07-2006,11-2006,2
7,03-2007,05-2007,3
7,12-2007,05-2008,2
7,04-2009,04-2010,3
8,06-2005,09-2005,3
8,12-2005,08-2006,5
8,06-2007,02-2008,3
8,03-2008,03-2009,5
8,07-2009,02-2010,5
9,11-2005,12-2005,2
9,10-2006,02-2007,3
9,08-2007,03-2008,4
9,01-2009,08-2009,2
9,04-2010,06-2010,2
10,10-2005,08-2006,1
10,04-2007,10-2007,1
10,08-2008,01-2009,1
10,04-2009,12-2009,1
10,05-2010,07-2010,3
11,03-2005,11-2005,5
11,11-2006,02-2007,2
11,03-2007,05-2007,3
11,09-2007,03-2008,4
11,08-2008,08-2009,4
12,04-2007,01-2008,4
12,11-2008,04-2009,2
12,10-2009,06-2010,5
12,05-2011,07-2011,4
12,12-2011,08-2012,2
13,04-2007,06-2007,4
13,10-2007,03-2008,3
13,04-2008,06-2008,4
13,01-2009,04-2009,5
13,05-2009,01-2010,5
14,06-2005,10-2005,3
14,03-2006,08-2006,5
14,12-2006,06-2007,5
14,11-2007,02-2008,3
14,08-2008,05-2009,3
15,08-2007,05-2008,4
15,12-2008,03-2009,3
15,06-2009,07-2009,2
15,12-2009,06-2010,4
15,08-2010,12-2010,4
16,03-2006,07-2006,4
16,10-2006,12-2006,4
16,08-2007,06-2008,4
16,03-2009,01-2010,1
16,11-2010,08-2011,5
17,09-2005,08-2006,3
17,10-2006,05-2007,1
17,04-2008,09-2008,4
17,05-2009,01-2010,3
17,09-2010,12-2010,3
18,08-2006,07-2007,1
18,04-2008,12-2008,4
18,03-2009,03-2010,4
18,12-2010,05-2011,4
18,07-2011,05-2012,1
19,03-2006,02-2007,2
19,09-2007,06-2008,1
19,10-2008,07-2009,4
19,01-2010,11-2010,1
19,07-2011,01-2012,2
20,11-2007,06-2008,1
20,08-2008,12-2008,3
20,05-2009,03-2010,3
20,02-2011,11-2011,3
20,04-2012,01-2013,3
21,12-2005,10-2006,3
21,10-2007,06-2008,5
21,10-2008,09-2009,3
21,07-2010,01-2011,1
21,03-2011,07-2011,4
22,01-2006,09-2006,3
22,12-2006,06-2007,1
22,08-2007,10-2007,3
22,06-2008,10-2008,1
22,04-2009,10-2009,4
23,04-2006,01-2007,1
23,08-2007,04-2008,3
23,09-2008,06-2009,2
23,01-2010,12-2010,4
23,02-2011,10-2011,2
24,12-2006,06-2007,1
24,10-2007,05-2008,5
24,10-2008,02-2009,5
24,04-2009,09-2009,5
24,01-2010,03-2010,2
25,03-2006,10-2006,4
25,11-2006,08-2007,2
25,10-2007,07-2008,4
25,04-2009,03-2010,2
25,11-2010,06-2011,1
26,11-2005,06-2006,2
26,08-2006,07-2007,4
26,01-2008,08-2008,2
26,06-2009,03-2010,4
